datetime_utc_0,actual_time_utc_0,postal,booking_id,committed_time_utc_0,estimated_time_utc_0,status,type
2017-06-09T16:11:14.000+02:00,,10179,fd520d51-5f83-40cd-92f4-d84f685f60d0,2017-06-09T16:47:19.000+02:00,2017-06-09T16:47:19.000+02:00,open,dropoff
2017-06-09T16:11:14.000+02:00,,10827,fd520d51-5f83-40cd-92f4-d84f685f60d0,2017-06-09T16:24:47.000+02:00,2017-06-09T16:24:47.000+02:00,open,pickup
2017-06-09T16:11:24.000+02:00,,10827,fd520d51-5f83-40cd-92f4-d84f685f60d0,2017-06-09T16:24:47.000+02:00,2017-06-09T16:24:47.000+02:00,open,pickup
2017-06-09T16:12:50.000+02:00,,10405,e941d425-1d05-4f64-9191-10e2f6ce9d40,2017-06-09T16:35:08.000+02:00,2017-06-09T16:35:08.000+02:00,open,dropoff
2017-06-09T16:12:50.000+02:00,,10243,e941d425-1d05-4f64-9191-10e2f6ce9d40,2017-06-09T16:14:55.000+02:00,2017-06-09T16:14:55.000+02:00,open,pickup
2017-06-09T16:13:12.000+02:00,,10405,e941d425-1d05-4f64-9191-10e2f6ce9d40,2017-06-09T16:35:08.000+02:00,2017-06-09T16:35:08.000+02:00,cancelled,dropoff
2017-06-09T16:13:12.000+02:00,,10243,e941d425-1d05-4f64-9191-10e2f6ce9d40,2017-06-09T16:14:55.000+02:00,2017-06-09T16:14:55.000+02:00,cancelled,pickup
2017-06-09T16:14:09.000+02:00,,10117,93df9cd6-0e6b-4ddd-83cc-d4ab87dc0109,2017-06-09T16:25:35.000+02:00,2017-06-09T16:25:35.000+02:00,open,pickup
2017-06-09T16:14:30.000+02:00,,10117,93df9cd6-0e6b-4ddd-83cc-d4ab87dc0109,2017-06-09T16:25:35.000+02:00,2017-06-09T16:25:35.000+02:00,open,pickup
2017-06-09T16:16:19.000+02:00,,10961,6d961598-4964-43a4-aad5-9934a5d0a8ad,2017-06-09T16:37:48.000+02:00,2017-06-09T16:37:48.000+02:00,open,dropoff
2017-06-09T16:17:59.000+02:00,,10719,ce541578-08d3-48e0-b458-ff9a8bac08a6,2017-06-09T16:24:55.000+02:00,2017-06-09T16:29:23.000+02:00,open,dropoff
2017-06-09T16:18:08.000+02:00,,10719,ce541578-08d3-48e0-b458-ff9a8bac08a6,2017-06-09T16:24:55.000+02:00,2017-06-09T16:34:17.000+02:00,open,dropoff
2017-06-09T16:19:38.000+02:00,,10781,a9419ee1-b6a8-4b3e-950c-fd531311fbe7,2017-06-09T16:19:53.000+02:00,2017-06-09T16:19:53.000+02:00,cancelled,dropoff
2017-06-09T16:19:38.000+02:00,2017-06-09T16:19:38.000+02:00,10965,a9419ee1-b6a8-4b3e-950c-fd531311fbe7,2017-06-09T16:09:29.000+02:00,2017-06-09T16:09:29.000+02:00,cancelled,pickup
2017-06-09T16:19:43.000+02:00,,10969,5e01790e-6e9c-4f6b-8686-8099325f4a46,2017-06-09T16:31:32.000+02:00,2017-06-09T16:31:32.000+02:00,open,pickup
2017-06-09T16:19:43.000+02:00,,10997,5e01790e-6e9c-4f6b-8686-8099325f4a46,2017-06-09T16:42:33.000+02:00,2017-06-09T16:42:33.000+02:00,open,dropoff
2017-06-09T16:19:50.000+02:00,,10969,5e01790e-6e9c-4f6b-8686-8099325f4a46,2017-06-09T16:31:32.000+02:00,2017-06-09T16:31:32.000+02:00,open,pickup
2017-06-09T16:20:14.000+02:00,,10559,59a2b787-cf31-4d9f-9457-9f900e7feef2,2017-06-09T16:27:13.000+02:00,2017-06-09T16:27:13.000+02:00,open,pickup
2017-06-09T16:20:20.000+02:00,2017-06-09T16:20:20.000+02:00,10997,6c86c739-af50-4f9c-98e0-63bf3eaaab52,2017-06-09T16:16:36.000+02:00,2017-06-09T16:16:36.000+02:00,closed,pickup
